import time: self [us] | cumulative | imported package
import time:       820 |        820 |                       django.core.files.storage.memory
import time:       808 |       5205 |                     django.core.files.storage
import time:      1375 |       7299 |                   django.db.models.fields.files
import time:       710 |        710 |                   django.db.models.fields.proxy
import time:      1840 |       1840 |                     django.db.models.query
import time:      1612 |       3451 |                   django.db.models.manager
import time:       982 |        982 |                       django.db.models.fields.related_descriptors
import time:       714 |        714 |                       django.db.models.fields.reverse_related
import time:      1513 |       3208 |                     django.db.models.fields.related
import time:       895 |        895 |                     django.db.models.options
import time:      1449 |       5551 |                   django.db.models.base
import time:      1013 |      84885 |                 django.db.models
import time:       836 |      85720 |               django.core.serializers.base
import time:       845 |      86565 |             django.core.serializers
import time:       583 |        583 |             django.core.serializers.python
import time:       706 |      87852 |           django.core.serializers.json
import time:      2786 |     109659 |         django.http.response
import time:       609 |     121164 |       django.http
import time:       538 |     121702 |     django.urls.exceptions
import time:       858 |        858 |       django.urls.converters
import time:      1074 |       1074 |       django.urls.utils
import time:      1227 |       3158 |     django.urls.resolvers
import time:       945 |     125805 |   django.urls.base
import time:       786 |        786 |   django.urls.conf
import time:      1044 |     127635 | django.urls
import time:      2056 |       2056 |     logging.handlers
import time:      1574 |       1574 |     socketserver
import time:      1985 |       5614 |   logging.config
import time:      1526 |       1526 |       email.generator
import time:      2421 |       2421 |         email._header_value_parser
import time:      1162 |       3583 |       email.headerregistry
import time:       773 |        773 |         email.mime
import time:       657 |        657 |           email.contentmanager
import time:       861 |       1518 |         email.policy
import time:       843 |       3133 |       email.mime.base
import time:       607 |        607 |         email.mime.nonmultipart
import time:       672 |       1278 |       email.mime.message
import time:       681 |        681 |       email.mime.multipart
import time:       641 |        641 |       email.mime.text
import time:       625 |        625 |       django.core.mail.utils
import time:      1608 |      13072 |     django.core.mail.message
import time:       922 |      13993 |   django.core.mail
import time:       765 |      20371 | django.utils.log
import time:       623 |        623 |       django.template.response
import time:       825 |        825 |       django.utils.decorators
import time:       913 |       2360 |     django.views.generic.base
import time:       777 |        777 |       django.views.generic.detail
import time:      1643 |       1643 |         django.core.paginator
import time:      1024 |       2666 |       django.views.generic.list
import time:      1636 |       5078 |     django.views.generic.dates
import time:      1574 |       1574 |     django.views.generic.edit
import time:      1104 |      10115 |   django.views.generic
import time:        50 |      10165 | django.views.generic.base
import time:      1428 |       1428 |     dataclasses
import time:      1179 |       2607 |   pprint
import time:      1476 |       1476 |   django.utils.timesince
import time:      1496 |       5577 | django.template.defaultfilters
import time:       873 |        873 |   django.utils.lorem_ipsum
import time:      1506 |       1506 |   django.template.smartif
import time:      1458 |       3837 | django.template.defaulttags
import time:       756 |        756 | django.contrib.admin.decorators
import time:       608 |        608 |         django.contrib.messages.constants
import time:       870 |        870 |         django.contrib.messages.storage
import time:       901 |       2377 |       django.contrib.messages.api
import time:       857 |       3234 |     django.contrib.messages
import time:       910 |        910 |       django.contrib.admin.utils
import time:      1033 |       1943 |     django.contrib.admin.helpers
import time:      1411 |       1411 |     django.contrib.admin.widgets
import time:      1461 |       1461 |     django.contrib.admin.checks
import time:       976 |        976 |     django.contrib.admin.exceptions
import time:      1072 |       1072 |       django.contrib.admin.templatetags
import time:      1391 |       2462 |     django.contrib.admin.templatetags.admin_urls
import time:       892 |        892 |         django.middleware
import time:      1301 |       1301 |         django.utils.cache
import time:      1726 |       3919 |       django.middleware.csrf
import time:       722 |        722 |         django.views.decorators
import time:       729 |       1451 |       django.views.decorators.debug
import time:       720 |        720 |       django.contrib.auth.signals
import time:      1067 |       7155 |     django.contrib.auth
import time:       575 |        575 |     django.views.decorators.csrf
import time:      2100 |      21313 |   django.contrib.admin.options
import time:      5302 |      26614 | django.contrib.admin.filters
import time:       794 |        794 |   django.contrib.admin.actions
import time:       588 |        588 |     django.contrib.admin.views
import time:       772 |       1360 |   django.contrib.admin.views.autocomplete
import time:       837 |        837 |     django.middleware.cache
import time:       834 |       1670 |   django.views.decorators.cache
import time:       599 |        599 |   django.views.decorators.common
import time:      1087 |       1087 |   django.views.i18n
import time:      1351 |       6859 | django.contrib.admin.sites
import time:       705 |        705 |       django.contrib.contenttypes
import time:      1158 |       1158 |           django.db.migrations.utils
import time:       751 |        751 |           django.db.migrations.exceptions
import time:       881 |       2789 |         django.db.migrations.migration
import time:       733 |        733 |             django.db.migrations.operations.base
import time:      1009 |       1742 |           django.db.migrations.operations.fields
import time:      1427 |       1427 |             django.db.migrations.state
import time:      1249 |       2676 |           django.db.migrations.operations.models
import time:      1101 |       1101 |           django.db.migrations.operations.special
import time:       743 |       6259 |         django.db.migrations.operations
import time:       661 |       9709 |       django.db.migrations
import time:      1514 |      11927 |     django.contrib.contenttypes.management
import time:       833 |      12760 |   django.contrib.auth.management
import time:       803 |      13562 | django.contrib.auth.checks
import time:       791 |        791 | django.contrib.contenttypes.checks
import time:       700 |        700 |   django.contrib.messages.utils
import time:      1311 |       2011 | django.contrib.messages.storage.base
import time:       620 |        620 |     django.contrib.staticfiles.utils
import time:       848 |       1467 |   django.contrib.staticfiles.finders
import time:       503 |       1970 | django.contrib.staticfiles.checks
import time:       483 |        483 |     corsheaders.defaults
import time:       997 |       1480 |   corsheaders.conf
import time:       990 |       2470 | corsheaders.checks
import time:      1753 |       1753 | django.contrib.contenttypes.models
import time:      1080 |       1080 |   django.contrib.auth.password_validation
import time:      1483 |       1483 |   django.contrib.auth.hashers
import time:       959 |        959 |     django.db.backends.base
import time:       866 |        866 |     django.db.backends.base.validation
import time:       790 |        790 |     django.db.backends.signals
import time:       623 |        623 |     django.utils.asyncio
import time:      1941 |       5177 |   django.db.backends.base.base
import time:       618 |        618 |   MySQLdb.constants
import time:       542 |        542 |   MySQLdb.constants.CLIENT
import time:       517 |        517 |   MySQLdb.constants.FIELD_TYPE
import time:      1392 |       1392 |       MySQLdb.constants.ER
import time:      1520 |       2912 |     MySQLdb.err
import time:       862 |       3774 |   MySQLdb.converters
import time:       468 |        468 |     django.db.backends.base.client
import time:       549 |       1016 |   django.db.backends.mysql.client
import time:       585 |        585 |     django.db.backends.base.creation
import time:       504 |       1088 |   django.db.backends.mysql.creation
import time:      1337 |       1337 |     django.db.backends.base.features
import time:      1005 |       2341 |   django.db.backends.mysql.features
import time:      1051 |       1051 |         sqlparse.tokens
import time:      1100 |       1100 |         sqlparse.utils
import time:      2020 |       4170 |       sqlparse.sql
import time:       650 |        650 |         sqlparse.exceptions
import time:       847 |       1496 |       sqlparse.cli
import time:       891 |        891 |         sqlparse.engine.grouping
import time:       960 |        960 |             sqlparse.keywords
import time:       657 |       1616 |           sqlparse.lexer
import time:       692 |        692 |           sqlparse.engine.statement_splitter
import time:      1023 |       1023 |             sqlparse.filters.others
import time:       760 |        760 |             sqlparse.filters.output
import time:      1001 |       1001 |             sqlparse.filters.tokens
import time:       997 |        997 |             sqlparse.filters.reindent
import time:       820 |        820 |             sqlparse.filters.right_margin
import time:      1266 |       1266 |             sqlparse.filters.aligned_indent
import time:       766 |       6630 |           sqlparse.filters
import time:       644 |       9581 |         sqlparse.engine.filter_stack
import time:       641 |      11112 |       sqlparse.engine
import time:       615 |        615 |       sqlparse.formatter
import time:      1238 |      18628 |     sqlparse
import time:      1273 |       1273 |     django.db.backends.base.introspection
import time:      1681 |      21581 |   django.db.backends.mysql.introspection
import time:      1055 |       1055 |     django.db.backends.base.operations
import time:      1002 |       2056 |   django.db.backends.mysql.operations
import time:      1675 |       1675 |       django.db.backends.ddl_references
import time:      2293 |       3968 |     django.db.backends.base.schema
import time:      1265 |       5232 |   django.db.backends.mysql.schema
import time:      1101 |       1101 |   django.db.backends.mysql.validation
import time:      4075 |      51675 | django.contrib.auth.base_user
import time:       732 |        732 | django.contrib.auth.validators
import time:       792 |        792 | django.utils.translation.reloader
import time:      1130 |       1130 | django.contrib.sessions.base_session
import time:      1421 |       1421 |   django.contrib.auth.tokens
import time:      1003 |       1003 |     django.contrib.sites
import time:       968 |        968 |     django.contrib.sites.requests
import time:      1050 |       3020 |   django.contrib.sites.shortcuts
import time:      2378 |       6819 | django.contrib.auth.forms
import time:      1442 |       1442 | django.contrib.contenttypes.fields
import time:       713 |        713 | django.contrib.contenttypes.forms
import time:       684 |        684 | rest_framework.checks
import time:       963 |        963 |       urllib.response
import time:      1127 |       2090 |     urllib.error
import time:       837 |        837 |     nturl2path
import time:      2483 |       5409 |   urllib.request
import time:       750 |        750 |     django.views.static
import time:       717 |       1466 |   django.contrib.staticfiles.views
import time:       814 |        814 |     django.core.handlers
import time:       981 |        981 |       django.core.handlers.exception
import time:      1269 |       2249 |     django.core.handlers.base
import time:      1498 |       4561 |   django.core.handlers.asgi
import time:      1156 |       1156 |   django.core.handlers.wsgi
import time:       876 |      13466 | django.contrib.staticfiles.handlers
import time:      1269 |       1269 |   django.core.management.commands
import time:       624 |        624 |     django.core.servers
import time:      1284 |       1284 |     wsgiref
import time:      1883 |       1883 |       http.server
import time:       798 |        798 |         wsgiref.util
import time:       620 |        620 |         wsgiref.headers
import time:      1173 |       2590 |       wsgiref.handlers
import time:      1087 |       1087 |         _wmi
import time:      1546 |       2632 |       platform
import time:      1563 |       8667 |     wsgiref.simple_server
import time:      1005 |       1005 |     django.core.wsgi
import time:      1322 |      12900 |   django.core.servers.basehttp
import time:      1045 |      15213 | django.core.management.commands.runserver
import time:      1079 |       1079 | rest_framework.settings
import time:       985 |        985 | django.core.cache.utils
import time:      1731 |       1731 | django.contrib.admin.views.main
import time:       878 |        878 | django.contrib.admin.templatetags.base
import time:       799 |        799 |   django.contrib.postgres
import time:      1168 |       1168 |         django.contrib.postgres.search
import time:      1430 |       2597 |       django.contrib.postgres.lookups
import time:      1291 |       1291 |           django.contrib.postgres.validators
import time:       774 |        774 |           django.contrib.postgres.utils
import time:       880 |       2944 |         django.contrib.postgres.forms.array
import time:       738 |        738 |         django.contrib.postgres.forms.hstore
import time:       801 |        801 |             django.db.backends.postgresql
import time:       353 |        353 |             psycopg
import time:       230 |        230 |             psycopg2
import time:      1232 |       2615 |           django.db.backends.postgresql.psycopg_any
import time:       705 |       3320 |         django.contrib.postgres.forms.ranges
import time:       981 |       7982 |       django.contrib.postgres.forms
import time:      1113 |      11691 |     django.contrib.postgres.fields.array
import time:       931 |      12621 |   django.contrib.postgres.fields
import time:       232 |        232 |   coreapi
import time:       224 |        224 |   uritemplate
import time:       220 |        220 |   coreschema
import time:       219 |        219 |   yaml
import time:       222 |        222 |   inflection
import time:       228 |        228 |   requests
import time:       227 |        227 |   markdown
import time:       219 |        219 |   pygments
import time:      1018 |      16224 | rest_framework.compat
import time:       535 |        535 |     rest_framework.status
import time:       672 |        672 |       rest_framework.utils
import time:      1088 |       1088 |       rest_framework.utils.json
import time:      1230 |       2989 |     rest_framework.utils.serializer_helpers
import time:       958 |       4482 |   rest_framework.exceptions
import time:       322 |        322 |       pytz
import time:       591 |        591 |       rest_framework.utils.html
import time:       578 |        578 |       rest_framework.utils.humanize_datetime
import time:       707 |        707 |       rest_framework.utils.representation
import time:       939 |        939 |       rest_framework.utils.formatting
import time:       953 |        953 |       rest_framework.utils.timezone
import time:      1196 |       1196 |       rest_framework.validators
import time:      2529 |       7811 |     rest_framework.fields
import time:      1561 |       1561 |     rest_framework.utils.model_meta
import time:      1352 |       1352 |     rest_framework.utils.field_mapping
import time:       732 |        732 |         rest_framework.utils.urls
import time:       927 |       1659 |       rest_framework.reverse
